field,scope,my_value_UNVERIFIED,your_value,unit,notes
promoted_listings_standard_max,seller-set ad rate ceiling,100.0,100.0,percent,CONFIRMED.
international_fee_pct,buyer registered outside US or delivery address outside US,1.65,1.65,percent of total amount of sale,"CONFIRMED, and the trigger is broader than the old scope said. It fires if the DELIVERY address is outside the US, OR if the buyer's REGISTERED address is outside the US regardless of where it ships. Big exception: it is NOT charged at all if you offer eBay International Shipping on the eligible listing."
currency_conversion_pct,payout converted to another currency,3.0,3.0,percent,"CONFIRMED at 3% for US-registered sellers. It only fires when eBay actually converts - listing or selling on a foreign eBay site. A US seller listing on eBay.com and paid in USD never sees it, so keep it off by default."
below_standard_seller_surcharge,Below Standard seller rating,6.0,6.0,percentage points added to FVF,"CONFIRMED it still exists. Evaluated on the 20th, applied to the whole following calendar month, and calculated as a percentage of the total sale amount. Does not apply to Above Standard or Top Rated."
below_standard_seller_surcharge,Below Standard four or more months in a row,,7.0,percentage points added to FVF,"NEW ROW. The surcharge escalates from 6 to 7 and stays there until the level gets back to Above Standard or better."
item_not_as_described_surcharge,'Item not as described' return rate rated Very High,,5.0,percentage points added to FVF,"NEW ROW and it was missing entirely. Applies per category, evaluated on the 20th, hits the following month. Escalates to 6.0 after four consecutive Very High months. If you are Below Standard AND Very High you are only charged the Below Standard one, never both."
dispute_fee,per chargeback or dispute you are found responsible for,,20.00,USD per dispute,"NEW ROW and it was missing. Excludes sales tax. Worth modeling - it is larger than the per-order fee by 50x."
regulatory_operating_fee_pct,US,0.35,0.00,percent,"DOES NOT APPLY. Read both the US selling fees and US Store selling fees pages end to end on 2026-08-18 and there is no regulatory operating fee anywhere on either. It is a UK, Germany, France and Australia charge. Set it to zero for US sellers and only add it back if you build non-US markets."
schedule_effective_from,whole schedule,2026-01-01,NOT STATED ON THE PAGE,YYYY-MM-DD,"The 2026-01-01 was invented. eBay does not print an effective date on either fee page - there is no version stamp to read, so a stale schedule cannot be detected from the page itself. Record the RETRIEVAL date instead and re-check on a calendar reminder."
schedule_retrieved_on,whole schedule,,2026-08-18,YYYY-MM-DD,"NEW ROW replacing the fake effective date. Read from ebay.com id=4822 (Selling fees) and id=4809 (Store selling fees), plus id=4164 for the ad rate range, on 2026-08-18 in a signed-in browser."
